Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,AccelLPF x,AccelLPF y,AccelLPF z,GyroLPF x,GyroLPF y,GyroLPF z
-1.2138557,6.9454474,6.508551,0.004321867,-0.008441387,0.013251948,-0.61680055,2.9600768,2.9659991,0.0010804668,-0.0021103467,0.003312987
-0.5698432,6.3684697,5.019422,0.0011453726,-0.023713004,0.039519127,-0.6050612,3.812175,3.4793549,0.0010966932,-0.007511011,0.012364523
-1.2306144,8.094615,6.8437247,-0.011071923,-0.04509327,0.02730183,-0.76144946,4.882785,4.3204474,-0.0019454608,-0.016906574,0.01609885
-0.09102343,7.790564,7.030464,-0.03342957,0.05667679,0.30182445,-0.593843,5.60973,4.9979515,-0.009816488,0.0014892668,0.08753025
-0.36395067,7.769017,8.198785,0.046105016,-0.06403008,-0.08497509,-0.5363699,6.1495514,5.7981596,0.0041638874,-0.01489057,0.04440391
-0.97683996,12.028119,11.208167,0.0290008,-0.006975308,0.08411226,-0.6464874,7.619193,7.1506615,0.010373116,-0.012911755,0.054330997
0.14599234,7.405114,-7.659725,0.02386954,0.1334014,-0.03928242,-0.44836748,7.5656734,3.4480648,0.013747222,0.02366653,0.030927643
-1.6926756,-0.24642497,0.659768,0.14420989,-0.033242498,-0.3853984,-0.7594445,5.612649,2.7509906,0.04636289,0.009439274,-0.07315387
0.16035694,9.07859,3.5087454,0.009697463,-0.04619283,0.22412246,-0.5294941,6.4791346,2.9404292,0.037196536,-0.004468752,0.0011652112
-0.12454082,12.547639,5.7065277,0.012751801,0.1397544,0.1263841,-0.4282558,7.9962606,3.6319537,0.031085351,0.031587034,0.032469932
1.4435939,17.067698,-4.9184823,-0.10942115,-0.05706621,-0.20568196,0.039706618,10.26412,1.4943447,-0.004041275,0.009423723,-0.027068041
0.5553832,10.28761,-6.8217907,0.16168061,-0.1541937,0.031455714,0.16862577,10.269993,-0.58468914,0.037389196,-0.031480633,-0.012437102
-0.785312,5.7268515,-3.1253023,-0.0059406636,-0.07807996,0.15228476,-0.06985867,9.134208,-1.2198424,0.02655673,-0.043130465,0.028743364
0.7014232,4.6926003,6.6593795,0.029122971,0.031753514,0.18075106,0.122961804,8.023806,0.74996305,0.02719829,-0.02440947,0.06674529
-2.8322663,-0.6486336,4.8255,-0.08388699,0.12252803,-0.096092835,-0.6158452,5.8556957,1.7688472,-5.73E-04,0.012324907,0.026035756
-1.877021,3.75172,-0.5564342,0.054046243,0.04299342,-0.07837775,-0.9311391,5.329702,1.187527,0.013081789,0.019992035,-6.76E-05
-1.4484774,7.6277657,19.063206,0.02228129,-0.015160902,-0.03683896,-1.0604737,5.9042177,5.6564465,0.015381664,0.0112038,-0.009260456
-1.3814427,10.886134,7.0161,0.02044869,-0.041916765,0.09535217,-1.140716,7.149697,5.99636,0.016648421,-0.0020763408,0.016892701
-1.024722,12.758319,15.776107,-0.08877392,0.0503238,-0.05736402,-1.1117175,8.551852,8.441297,-0.009707164,0.011023695,-0.0016714782
-0.90741116,5.9399257,13.858434,0.09424116,0.05557724,-0.012526546,-1.0606409,7.8988705,9.795581,0.016279917,0.022162082,-0.004385245
-0.02159457,9.772879,-3.5107522,-0.10306817,-0.045093276,-0.0682374,-0.80087936,8.3673725,6.4689975,-0.013557106,0.005348243,-0.020348284
0.11726317,14.628112,20.789352,-0.1242041,-0.043627195,0.07617101,-0.5713437,9.932557,10.049086,-0.041218854,-0.0068956167,0.0037815385
-0.8020707,3.5793447,-1.449433,0.0050549065,0.06535108,-0.026332088,-0.62902546,8.344254,7.1744556,-0.029650414,0.011166057,-0.003746868
-1.1994911,-11.991873,5.266014,-0.12811363,-0.006975312,0.06163242,-0.77164185,3.260222,6.6973453,-0.054266218,0.0066307145,0.012597955
1.615969,1.1493347,6.0536723,-0.04723512,0.034685664,-0.04416934,-0.17473912,2.7325,6.536427,-0.052508444,0.013644451,-0.0015938692
-0.26100445,8.3412075,12.299876,-0.0061850008,-0.0019662227,0.042573452,-0.19630545,4.134677,7.977289,-0.04092758,0.009741783,0.009447961
-1.1324564,-0.23445448,9.886625,-0.00630718,-0.01149571,6.68E-04,-0.4303432,3.0423942,8.454623,-0.03227248,0.00443241,0.0072530042
2.4778445,-2.800928,17.96192,-0.045158166,-0.05975402,0.021681879,0.2967037,1.5815636,10.831448,-0.035493903,-0.011614198,0.010860223
2.4610858,0.13184264,15.943694,-0.10526727,0.040183447,0.054790754,0.8377992,1.2191334,12.109509,-0.052937247,0.001335213,0.021842856
-0.6847599,5.204938,15.656403,-0.02671006,-0.0639079,0.112578556,0.4571594,2.2155845,12.996233,-0.04638045,-0.014975565,0.044526782
1.6494863,-0.26078957,15.922147,0.016416976,-0.08113429,0.074460596,0.75524116,1.596491,13.727712,-0.030681092,-0.031515248,0.052010234
-1.6423994,3.9097304,5.665828,0.12588395,-0.017726526,-0.09377155,0.15583098,2.1748009,11.71224,0.008460168,-0.028068068,0.015564788
0.4069491,6.0476604,7.688842,0.09851722,0.019414045,-0.118083954,0.21861051,3.1430159,10.70639,0.03097443,-0.01619754,-0.017847396
-0.1125703,7.3572326,6.175771,0.01153007,0.004264598,-0.03341812,0.13581531,4.19657,9.573735,0.026113339,-0.011082006,-0.021740077
0.38300812,6.8712306,6.2260475,0.012507454,-0.0106405,0.022292744,0.19761351,4.8652353,8.736814,0.022711867,-0.010971629,-0.010731872
0.16753924,6.7084317,7.0208883,-0.008628464,0.030898299,0.041351724,0.19009495,5.3260345,8.307833,0.014876785,-5.04E-04,0.002289027
-0.24903394,6.835319,6.266747,9.01E-04,-0.0033101232,-0.04942278,0.08031273,5.703356,7.797561,0.011382844,-0.0012056413,-0.010638924
0.03825791,6.998118,6.949065,0.021426078,0.054233335,0.02803487,0.06979902,6.027046,7.5854373,0.013893653,0.012654103,-9.70E-04
0.20105663,6.811378,7.229175,0.0060322885,0.018558834,-0.06835958,0.10261342,6.2231293,7.4963717,0.011928312,0.014130286,-0.017817752
-0.067082435,5.0014396,10.090122,0.055169083,0.04355774,-0.044308968,-0.016770609,1.2503599,2.5225306,0.013792271,0.010889435,-0.011077242
0.77324617,8.016808,5.4467683,0.06168498,0.018599559,-0.12703751,0.18073359,2.9419718,3.25359,0.025765449,0.012816966,-0.040067308
